entity_id,entity_name,entity_type,rssd_id,fdic_cert,top_parent_rssd,country,is_gsib_parent,is_covered_bank_subsidiary,fr_y15_reporter,parent_method1_surcharge
bk_bank,"BANK OF NEW YORK MELLON, THE",insured_bank_sub,541101,639,3587146,United States,false,true,,
bk_na,"BNY MELLON, NATIONAL ASSOCIATION",insured_bank_sub,934329,7946,3587146,United States,false,true,,
pnc_bank,"PNC BANK, NATIONAL ASSOCIATION",insured_bank_sub,817824,6384,1069778,United States,false,false,,
truist_bank,TRUIST BANK,insured_bank_sub,852320,9846,1074156,United States,false,false,,
ntrs_bank,"NORTHERN TRUST COMPANY, THE",insured_bank_sub,210434,913,1199611,United States,false,false,,
usbank_bank,U.S. BANK NATIONAL ASSOCIATION,insured_bank_sub,504713,6548,1119794,United States,false,false,,
cof_bank,"CAPITAL ONE, NATIONAL ASSOCIATION",insured_bank_sub,112837,4297,2277860,United States,false,false,,
schw_bank,"CHARLES SCHWAB BANK, SSB",insured_bank_sub,3150447,57450,1026632,United States,false,false,,
cof_card_bank,"CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION",insured_bank_sub,2253891,33954,2277860,United States,false,false,,
td_bank,"TD BANK, NATIONAL ASSOCIATION",insured_bank_sub,497404,18409,3606542,United States,false,false,,
hsbc_bank,"HSBC BANK USA, NATIONAL ASSOCIATION",insured_bank_sub,413208,,3232316,United States,false,false,,
bac_ca_bank,"BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION",insured_bank_sub,1443266,25178,1073757,United States,false,true,,
wfnw_bank,"WELLS FARGO NATIONAL BANK WEST",insured_bank_sub,1225761,27389,1120754,United States,false,true,,
dbtca_bank,DEUTSCHE BANK TRUST COMPANY AMERICAS,insured_bank_sub,214807,623,2816906,United States,false,false,,
barclays_delaware_bank,BARCLAYS BANK DELAWARE,insured_bank_sub,2980209,57203,5006575,United States,false,false,,
barclays_ihc,BARCLAYS US LLC,ihc_fbo_us,5006575,,5006575,United Kingdom,false,false,BARCLAYS US LLC,
hsbc_ihc,"HSBC NORTH AMERICA HOLDINGS INC.",ihc_fbo_us,3232316,,3232316,United Kingdom,false,false,HSBC NORTH AMERICA HOLDINGS,
td_ihc,TD GROUP US HOLDINGS LLC,ihc_fbo_us,3606542,,3606542,Canada,false,false,TD GROUP US HOLDINGS LLC,
ubs_ihc,UBS AMERICAS HOLDING LLC,ihc_fbo_us,4846998,,4846998,Switzerland,false,false,UBS AMERICAS HOLDING LLC,
dbusa_ihc,DB USA CORPORATION,ihc_fbo_us,2816906,,2816906,Germany,false,false,DB USA,
mufg_ihc,MUFG AMERICAS HOLDINGS CORPORATION,ihc_fbo_us,1378434,,1378434,Japan,false,false,MUFG AMERICAS HOLDINGS,
rbc_ihc,RBC US GROUP HOLDINGS LLC,ihc_fbo_us,5280254,,5280254,Canada,false,false,RBC US GROUP HOLDINGS LLC,
