entity_id,entity_name,entity_type,rssd_id,fdic_cert,top_parent_rssd,country,is_gsib_parent,is_covered_bank_subsidiary,fr_y15_reporter,parent_method1_surcharge
jpm_parent,JPMORGAN CHASE & CO.,bhc_parent,1039502,,1039502,United States,true,false,JPMORGAN CHASE,
bac_parent,BANK OF AMERICA CORPORATION,bhc_parent,1073757,,1073757,United States,true,false,BANK OF AMERICA,
citi_parent,CITIGROUP INC.,bhc_parent,1951350,,1951350,United States,true,false,CITIGROUP,
wfc_parent,WELLS FARGO & COMPANY,bhc_parent,1120754,,1120754,United States,true,false,WELLS FARGO & COMPANY,
gs_parent,"GOLDMAN SACHS GROUP, INC., THE",bhc_parent,2380443,,2380443,United States,true,false,GOLDMAN SACHS,
ms_parent,MORGAN STANLEY,bhc_parent,2162966,,2162966,United States,true,false,MORGAN STANLEY,
stt_parent,STATE STREET CORPORATION,bhc_parent,1111435,,1111435,United States,true,false,STATE STREET,
bk_parent,"BANK OF NEW YORK MELLON CORPORATION, THE",bhc_parent,3587146,,3587146,United States,true,false,BANK OF NEW YORK MELLON,
pnc_parent,"PNC FINANCIAL SERVICES GROUP, INC., THE",bhc_parent,1069778,,1069778,United States,false,false,PNC FINANCIAL SERVICES,
truist_parent,TRUIST FINANCIAL CORPORATION,bhc_parent,1074156,,1074156,United States,false,false,TRUIST FINANCIAL,
ntrs_parent,NORTHERN TRUST CORPORATION,bhc_parent,1199611,,1199611,United States,false,false,NORTHERN TRUST,
usb_parent,U.S. BANCORP,bhc_parent,1119794,,1119794,United States,false,false,,
cof_parent,CAPITAL ONE FINANCIAL CORPORATION,bhc_parent,2277860,,2277860,United States,false,false,CAPITAL ONE FINANCIAL CORPORATION,
schw_parent,"CHARLES SCHWAB CORPORATION, THE",bhc_parent,1026632,,1026632,United States,false,false,"CHARLES SCHWAB CORPORATION, THE",
axp_parent,AMERICAN EXPRESS COMPANY,bhc_parent,1275216,,1275216,United States,false,false,AMERICAN EXPRESS COMPANY,
ally_parent,ALLY FINANCIAL INC.,bhc_parent,1562859,,1562859,United States,false,false,ALLY FINANCIAL INC.,
bmo_ihc,BMO FINANCIAL CORP.,ihc_fbo_us,1245415,,1245415,Canada,false,false,BMO FINANCIAL CORP.,
jpm_bank,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",insured_bank_sub,852218,628,1039502,United States,false,true,,
bac_bank,"BANK OF AMERICA, NATIONAL ASSOCIATION",insured_bank_sub,480228,3510,1073757,United States,false,true,,
citi_bank,"CITIBANK, N.A.",insured_bank_sub,476810,7213,1951350,United States,false,true,,
wfc_bank,"WELLS FARGO BANK, NATIONAL ASSOCIATION",insured_bank_sub,451965,3511,1120754,United States,false,true,,
gs_bank,GOLDMAN SACHS BANK USA,insured_bank_sub,2182786,33124,2380443,United States,false,true,,
ms_bank,"MORGAN STANLEY BANK, N.A.",insured_bank_sub,1456501,32992,2162966,United States,false,true,,
ms_private_bank,"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION",insured_bank_sub,2489805,34221,2162966,United States,false,true,,
stt_bank,STATE STREET BANK AND TRUST COMPANY,insured_bank_sub,35301,14,1111435,United States,false,true,,
